NISS|ELGRAND|LC|2003|0|2003
NISS|ELGRAND|LC|2004|0|2004
NISS|ELGRAND|LC|2005|0|2005
NISS|ELGRAND|LC|2006|0|2006
NISS|ELGRAND|LC|2007|0|2007
NISS|ELGRAND|LC|2008|0|2008
NISS|ELGRAND|LC|2009|0|2009
NISS|ELGRAND|LC|2010|0|2010
NISS|ELGRAND|LC|2011|0|2011
NISS|ELGRAND|LC|2012|0|2012
NISS|ELGRAND|LC|2013|0|2013
NISS|FAIRLDZ|PS|1989|0|1989
NISS|FAIRLDZ|PS|1991|0|1991
NISS|FAIRLDZ|PS|1992|0|1992
NISS|FAIRLDZ|PS|1995|0|1995
NISS|FIGARO|PS|1991|2|Feb 1991
NISS|FUGA450|PS|2005|0|2005
NISS|FUGA450|PS|2006|0|2006
NISS|FUGA450|PS|2014|0|2014
NISS|GLORIA|PS|2000|0|2000
NISS|GLORIA|PS|2002|0|2002
NISS|GLORIA|PS|2003|0|2003
NISS|GT-R|PS|2008|0|2008
NISS|HOMY|LC|1986|0|1986
NISS|LARGO|LC|1990|0|1990
NISS|LARGO|LC|1991|0|1991
NISS|LARGO|LC|1992|0|1992
NISS|LAUREL|PS|1999|0|1999
NISS|MAXIMA|PS|1986|0|1986
NISS|MAXIMA|PS|1987|0|1987
NISS|MAXIMA|PS|1988|0|1988
NISS|MAXIMA|PS|1989|0|1989
NISS|MAXIMA|PS|1990|0|1990
NISS|PAO|PS|1989|0|1989
NISS|PAO|PS|1990|0|1990
NISS|PAO|PS|1991|0|1991
NISS|PRESEA|PS|1991|0|1991
NISS|PRESIDE|PS|1983|0|1983
NISS|PRESIDE|PS|1984|0|1984
NISS|PRESIDE|PS|1990|0|1990
NISS|PRESIDE|PS|1992|0|1992
NISS|PRIMERA|PS|1995|0|1995
NISS|PRIMERA|PS|2001|0|2001
NISS|PULSAR|PS|1990|0|1990
NISS|PULSAR|PS|1991|0|1991
NISS|PULSAR|PS|1992|0|1992
NISS|PULSAR|PS|1993|0|1993
NISS|PULSAR|PS|1994|0|1994
NISS|PULSAR|PS|1997|0|1997
NISS|PULSAR|PS|1998|0|1998
NISS|SAFARI|LC|1988|0|1988
NISS|SAFARI|LC|1989|0|1989
NISS|SAFARI|LC|1992|0|1992
NISS|SCARGO|LC|1989|0|1989
NISS|SCARGO|LC|1990|0|1990
NISS|SCARGO|LC|1991|0|1991
NISS|SERENA|PS|2011|0|2011
NISS|SERENA|PS|2013|0|2013
NISS|SERENA|PS|2014|0|2014
NISS|SILVIA|PS|1988|0|1988
NISS|SILVIA|PS|1989|0|1989
NISS|SILVIA|PS|1990|0|1990
NISS|SILVIA|PS|1991|0|1991
NISS|SILVIA|PS|1992|0|1992
NISS|SILVIA|PS|1993|0|1993
NISS|SILVIA|PS|1994|0|1994
NISS|SILVIA|PS|1995|0|1995
NISS|SILVIA|PS|1996|0|1996
NISS|SILVIA|PS|1997|0|1997
NISS|SILVIA|PS|1998|0|1998
NISS|SILVIA|PS|1999|0|1999
NISS|SILVIA|PS|2000|0|2000
NISS|SILVIA|PS|2001|0|2001
NISS|SKYLINE|PS|1987|0|1987
NISS|SKYLINE|PS|1988|0|1988
NISS|SKYLINE|PS|1989|0|1989
NISS|SKYLINE|PS|1990|0|1990
NISS|SKYLINE|PS|1991|0|1991
NISS|SKYLINE|PS|1992|0|1992
NISS|SKYLINE|PS|1993|0|1993
NISS|SKYLINE|PS|1993|8|Aug 1993
NISS|SKYLINE|PS|1994|0|1994
NISS|SKYLINE|PS|1995|0|1995
NISS|SKYLINE|PS|1996|0|1996
NISS|SKYLINE|PS|1996|10|Oct 1996
NISS|SKYLINE|PS|1997|0|1997
NISS|SKYLINE|PS|1998|0|1998
NISS|SKYLINE|PS|1998|5|May 1998
NISS|SKYLINE|PS|1999|0|1999
NISS|SKYLINE|PS|2000|0|2000
NISS|SKYLINE|PS|2001|0|2001
NISS|SKYLINE|PS|2001|6|Jun 2001
NISS|SKYLINE|PS|2002|0|2002
NISS|SKYLINE|PS|2003|0|2003
NISS|SKYLINE|PS|2004|0|2004
NISS|SKYLINE|PS|2005|0|2005
NISS|SKYLINE|PS|2006|0|2006
NISS|SKYLINE|PS|2006|11|Nov 2006
NISS|SKYLINE|PS|2007|0|2007
NISS|SKYLINE|PS|2008|0|2008
NISS|SKYLINE|PS|2008|12|Dec 2008
NISS|SKYLINE|PS|2009|0|2009
NISS|SKYLINE|PS|2010|0|2010
NISS|SKYLINE|PS|2011|0|2011
NISS|SKYLINE|PS|2012|0|2012
NISS|SKYLINE|PS|2013|0|2013
NISS|STAGEA|PS|1996|0|1996
NISS|STAGEA|PS|1997|0|1997
NISS|STAGEA|PS|1998|0|1998
NISS|STAGEA|PS|1999|0|1999
NISS|STAGEA|PS|2000|0|2000
NISS|STAGEA|PS|2001|0|2001
NISS|STAGEA|PS|2001|7|Jul 2001
NISS|STAGEA|PS|2002|0|2002
NISS|STAGEA|PS|2003|0|2003
NISS|STAGEA|PS|2004|0|2004
NISS|STAGEA|PS|2004|8|Aug 2004
NISS|STAGEA|PS|2005|0|2005
NISS|STAGEA|PS|2006|0|2006
NISS|STAGEA|PS|2007|0|2007
NISS|TERRAN1|LC|1987|0|1987
NISS|TERRAN1|LC|1991|8|Aug 1991
NISS|TERRAN1|LC|1993|0|1993
NISS|TERRAN1|LC|1997|0|1997
NISS|TERRAN1|LC|1998|0|1998
NISS|TERRANO|LC|1988|0|1988
NISS|TERRANO|LC|1989|0|1989
NISS|TERRANO|LC|1990|0|1990
NISS|TERRANO|LC|1991|0|1991
NISS|TERRANO|LC|1992|0|1992
NISS|TERRANO|LC|1993|0|1993
NISS|TERRANO|LC|1994|0|1994
NISS|TERRANO|LC|1995|0|1995
NISS|TERRANO|LC|1996|0|1996
NISS|TINO|PS|2000|0|2000
NISS|VANETTE|LC|2010|0|2010
